R1.024,R2.022,R3.056,P1.05,P2.04	Mgat4c	1	chr10_102053478
R1.016,R2.052,R3.087,P1.05,P2.04	Mgat4c	1	chr10_102066074
R1.039,R2.007,R3.036,P1.05,P2.04	Mgat4c	1	chr10_102166133
R1.010,R2.086,R3.095,P1.05,P2.04	Mgat4c	1	chr10_102233426
R1.022,R2.077,R3.029,P1.05,P2.04	Tmtc2	1	chr10_105238370
R1.015,R2.018,R3.028,P1.05,P2.04	Ppfia2	2	chr10_106625601
R1.021,R2.066,R3.034,P1.05,P2.04	Ppfia2	1	chr10_106647009
R1.012,R2.049,R3.078,P1.05,P2.04	Ppfia2	1	chr10_106714791
R1.040,R2.047,R3.040,P1.05,P2.04	Lin7a	1	chr10_107289352
R1.054,R2.068,R3.034,P1.05,P2.04	Ptprq	1	chr10_107528892
R1.002,R2.042,R3.030,P1.05,P2.04	Grm1	1	chr10_10794842
R1.012,R2.050,R3.034,P1.05,P2.04	Syt1	2	chr10_108500149
R1.014,R2.081,R3.036,P1.05,P2.04	Syt1	1	chr10_108572149
R1.011,R2.007,R3.012,P1.05,P2.04	Syt1	1	chr10_108661915
R1.002,R2.071,R3.013,P1.05,P2.04	Syt1	1	chr10_108986352
R1.043,R2.018,R3.095,P1.05,P2.04	Syt1	1	chr10_109010736
R1.010,R2.022,R3.061,P1.05,P2.04	Syt1	1	chr10_109010822
R1.011,R2.022,R3.091,P1.05,P2.04	Nav3	1	chr10_109722035
R1.015,R2.013,R3.047,P1.05,P2.04	Nav3	1	chr10_109927788
R1.048,R2.017,R3.019,P1.05,P2.04	Nav3	1	chr10_110056832
R1.020,R2.065,R3.079,P1.05,P2.04	Nav3	1	chr10_110209212
R1.029,R2.044,R3.043,P1.05,P2.04	Zdhhc17	1	chr10_110947325
R1.007,R2.003,R3.043,P1.05,P2.04	Zdhhc17	1	chr10_110947987
R1.030,R2.091,R3.079,P1.05,P2.04	Zdhhc17	1	chr10_111003827
R1.001,R2.078,R3.043,P1.05,P2.04	Osbpl8	1	chr10_111222839
